DON,Country,Title,Reporting Date,Reporting Agency,Index Date,Case Count,Death Count,Class,Location,Risk Factors,Modes of Transmission,Status,R0,URL,Pathogen(s),Latitude,Longitude,Population,Countries Affected,Case Fatality Rate,Rough R0,Severity,Coord,Summary
2022-DON390,Cameroon,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,4.6125522,13.1535811,25876380.0,13,0.0,0.5,7.766015344690192,"4.6125522,13.1535811","Country:
Cameroon

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Canada,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,51.0000002,-109.0,37589262.0,13,0.0,0.5,7.766015344690192,"51.0000002,-109.0","Country:
Canada

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Central African Rep.,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,7.0323598,19.9981227,4745185.0,13,0.0,0.5,7.766015344690192,"7.0323598,19.9981227","Country:
Central African Rep.

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Côte d'Ivoire,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,7.9897371,-5.5679458,25716544.0,13,0.0,0.5,7.766015344690192,"7.9897371,-5.5679458","Country:
Côte d'Ivoire

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Dem. Rep. Congo,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,-2.9814344,23.8222636,86790567.0,13,0.0,0.5,7.766015344690192,"-2.9814344,23.8222636","Country:
Dem. Rep. Congo

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Gabon,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,-0.8999695,11.6899699,2172579.0,13,0.0,0.5,7.766015344690192,"-0.8999695,11.6899699","Country:
Gabon

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Germany,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,51.0,10.0,83132799.0,13,0.0,0.5,7.766015344690192,"51.0,10.0","Country:
Germany

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Ghana,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,8.0300284,-1.0800271,30417856.0,13,0.0,0.5,7.766015344690192,"8.0300284,-1.0800271","Country:
Ghana

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Liberia,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,5.7499721,-9.3658524,4937374.0,13,0.0,0.5,7.766015344690192,"5.7499721,-9.3658524","Country:
Liberia

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
2022-DON390,Nigeria,Multi-country monkeypox outbreak: situation update,05-13-2022,World Health Organization,05-13-2022,523.0,0,Epidemic,"Europe, North America, Nigeria, WHO European Region, Region of the Americas, Eastern Mediterranean Region, Western Pacific Region, Cameroon, Central African Republic, Democratic Republic of the Congo, Gabon, Ghana, Cote d’Ivoire, Liberia","- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers","- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal",Novel outbreak,"[0.3, 0.7]",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390,Monkeypox,9.6000359,7.9999721,200963599.0,13,0.0,0.5,7.766015344690192,"9.6000359,7.9999721","Country:
Nigeria

Event Type:
Novel outbreak - Epidemic

Number of Countries Affected:
13

Reporting Agency:
World Health Organization

Modes of Transmission:
- Direct contact with an infected person, including sexual contact
- Contact with sick mammals such as rodents, marsupials, non-human primates
- Exposed to contact with lesions, body fluids, respiratory droplets and contaminated materials from an infected person or animal

Risk Factors:
- Frequent encounters between persons in close proximity and/or with physical contact
- Lack of early clinical recognition of an infection previously known to occur mostly in West and Central Africa
- Lack of adequate infection prevention and control measures by health workers"
